ics,isscaap,asfis,description
1501,11,ATU,Largescale sucker
1501,11,ATE,Tahoe sucker
1501,11,PHH,NA
1501,11,GUH,NA
1501,11,NUC,Danube bleak
1501,11,HYA,Humpback
1501,11,ATJ,Cui-ui
1501,11,HEU,NA
1501,11,HEO,Indian glass barb
1501,11,HEY,NA
1501,11,HOG,NA
1501,11,HON,Common nase
1501,11,HOY,Iberian nase
1501,11,HOS,NA
1501,11,HOX,NA
1501,11,RNR,NA
1501,11,RNM,Small scale mud carp
1501,11,RNE,Reba carp
1501,11,NOU,Redside dace
1501,11,BIA,Golden spined loach
1501,11,BIW,NA
1501,11,BIO,NA
1501,11,BIM,NA
1501,11,BIT,Spined loach
1501,11,PTL,NA
1501,11,UCS,NA
1501,11,USC,NA
1501,11,UEP,Lake chub
1501,11,ILA,NA
1501,11,CML,NA
1501,11,LTL,NA
1501,11,YCL,Blue sucker
1501,11,YCA,Beardless barb
1501,11,YCD,NA
1501,11,YCE,NA
1501,11,YPA,NA
1501,11,YPN,Satinfin shiner
1501,11,YPC,Alabama shiner
1501,11,YPM,Bluntface shiner
1501,11,YPL,Red shiner
1501,11,YPP,Proserpine shiner
1501,11,YPI,Spotfin shiner
1501,11,YPV,Blacktail shiner
1501,11,YPW,NA
1501,11,DAE,Giant danio
1501,11,DAD,NA
1501,11,DAV,Sind danio
1501,11,DAF,Leopard danio
1501,11,DAI,Zebra danio
1501,11,DAT,NA
1501,11,DEU,Lost River sucker
1501,11,DID,Devils River minnow
1501,11,DIE,Roundnose minnow
1501,11,DIL,Scaly osman
1501,11,DII,NA
1501,11,DIT,NA
1501,11,EIO,NA
1501,11,ELL,NA
1501,11,ELM,Yellowcheek
1501,11,ENL,Lake Malawi sardine
1501,11,ENM,NA
1501,11,EPB,Redtail sharkminnor
1501,11,ERA,Desert dace
1501,11,ERD,Streamline chub
1501,11,ERU,Lake chubsucker
1501,11,ESD,Flying barb
1501,11,EUE,Lake minnow
1501,11,EVU,NA
1501,11,EXM,Cutlips minnow
1501,11,GRD,NA
1501,11,GRG,NA
1501,11,GRT,NA
1501,11,GRK,NA
1501,11,GRU,NA
1501,11,GRR,NA
1501,11,GRI,NA
1501,11,GSB,NA
1501,11,GIA,Utah chub
1501,11,GIB,Tui chub
1501,11,GIC,Humpback chub
1501,11,GIE,Bonytail
1501,11,GIN,Chihuahua chub
1501,11,GIR,Roundtail chub
1501,11,GLE,NA
1501,11,GNA,NA
1501,11,GNE,NA
1501,11,GOP,White-finned gudgeon
1501,11,GOR,NA
1501,11,GYW,NA
1501,11,GXM,Siamese algae-eater
1501,11,HMD,NA
1501,11,HML,Hampala barb
1501,11,HME,Barbel steed
1501,11,HMU,Sharpbelly
1501,11,HMK,NA
1501,11,HMI,Garnet minnow
1501,11,HMO,NA
1501,11,HMF,Flame chub
1501,11,HNC,NA
1501,11,HSY,California roach
1501,11,HOI,NA
1501,11,HRA,NA
1501,11,HBP,Plains minnow
1501,11,HYN,Northern hog sucker
1501,11,HYE,NA
1501,11,HYC,NA
1501,11,HYL,NA
1501,11,IBP,NA
1501,11,IKC,Choi's spiny loach
1501,11,INE,NA
1501,11,INA,NA
1501,11,IOP,Least chub
1501,11,IRT,Iran cave barb
1501,11,KAL,NA
1501,11,LBV,Rednose labeo
1501,11,LBG,NA
1501,11,LBZ,NA
1501,11,LBB,NA
1501,11,LBO,NA
1501,11,LBP,Orange River mudfish
1501,11,LBU,NA
1501,11,LBY,Redeye labeo
1501,11,LBL,NA
1501,11,LBD,NA
1501,11,LBM,NA
1501,11,LBH,NA
1501,11,LBF,Fringed-lipped peninsula carp
1501,11,LBK,NA
1501,11,LBN,NA
1501,11,LBI,Kuria labeo
1501,11,LBQ,NA
1501,11,LBJ,NA
1501,11,LOM,NA
1501,11,LOI,NA
1501,11,LON,NA
1501,11,LOL,NA
1501,11,LOH,NA
1501,11,LOE,NA
1501,11,LOD,NA
1501,11,EOU,Moggel
1501,11,LOC,Ningu
1501,11,LUE,NA
1501,11,LDG,NA
1501,11,LDT,Tachanovsky's gudgeon
1501,11,LAL,Harelip sucker
1501,11,LWG,Czekanowski's minnow
1501,11,LVE,Hitch
1501,11,LEH,NA
1501,11,LEG,Guntea loach
1501,11,LEI,NA
1501,11,LED,NA
1501,11,LPV,Little Colorado spinedace
1501,11,LPT,NA
1501,11,LEU,NA
1501,11,LPG,NA
1501,11,LPN,NA
1501,11,LPK,NA
1501,11,LUD,Belica
1501,11,LUY,Dnieper chub
1501,11,LUC,NA
1501,11,LUH,Chub
1501,11,LUP,NA
1501,11,LUR,NA
1501,11,LUS,Vairone
1501,11,LCO,NA
1501,11,LCI,NA
1501,11,LCK,NA
1501,11,LXC,Striped shiner
1501,11,LXO,Common shiner
1501,11,LYR,Cherryfin shiner
1501,11,LYS,Ouachita shiner
1501,11,MCV,Speckled chub
1501,11,MCO,Long pectoral-fin minnow
1501,11,MDE,NA
1501,11,MGM,Pearl dace
1501,11,MDF,Spikedace
1501,11,MKE,NA
1501,11,MSB,River sardine
1501,11,MIU,NA
1501,11,MYK,NA
1501,11,MCY,NA
1501,11,MIM,Spotted sucker
1501,11,MOC,Moapa dace
1501,11,MOI,NA
1501,11,MOH,Black sharkminnow
1501,11,MOG,Gray redhorse
1501,11,MOE,Golden redhorse
1501,11,MOM,Shorthead redhorse
1501,11,MHC,Peamouth
1501,11,MHO,Hardhead
1501,11,MSG,NA
1501,11,MXS,Chinese sucker
1501,11,NEY,NA
1501,11,NMD,NA
1501,11,NEL,NA
1501,11,NEO,NA
1501,11,NUM,NA
1501,11,NEU,NA
1501,11,NEJ,NA
1501,11,NEI,NA
1501,11,NEE,NA
1501,11,NWD,NA
1501,11,NOB,Hornyhead chub
1501,11,NOH,Bluehead chub
1501,11,NOI,River chub
1501,11,NTA,Emerald shiner
1501,11,NTB,Red River shiner
1501,11,NTP,Bigeye shiner
1501,11,NTD,Bigmouth shiner
1501,11,NTG,Arkansas River shiner
1501,11,NTE,Blackchin shiner
1501,11,NTR,Blacknose shiner
1501,11,NTU,Spottail shiner
1501,11,NTL,Longnose shiner
1501,11,NTN,Yellowfin shiner
1501,11,NTS,Ozark minnow
1501,11,NTQ,Rosyface shiner
1501,11,NTI,Bedrock shiner
1501,11,NRS,Flagfin shiner
1501,11,NRT,Sand shiner
1501,11,NRX,Weed shiner
1501,11,NRV,Mimic shiner
1501,11,OCE,NA
1501,11,ONL,Taiwan ku fish
1501,11,OPL,Lake salmon
1501,11,OPD,NA
1501,11,OPQ,Pugnose minnow
1501,11,OGC,Oregon chub
1501,11,OHC,NA
1501,11,OUH,NA
1501,11,ONO,NA
1501,11,OHM,Sacramento blackfish
1501,11,OTP,NA
1501,11,OUP,NA
1501,11,OBL,Manipur osteobrama
1501,11,OBC,NA
1501,11,OSE,NA
1501,11,OSS,NA
1501,11,OXA,NA
1501,11,PHM,NA
1501,11,NAG,NA
1501,11,PHC,NA
1501,11,PHQ,NA
1501,11,PUB,NA
1501,11,PAD,NA
1501,11,PYT,NA
1501,11,PAJ,NA
1501,11,PZV,NA
1501,11,PAK,NA
1501,11,PUL,NA
1501,11,PYB,NA
1501,11,PHK,Riffle minnow
1501,11,PXA,NA
1501,11,PXC,Blackside dace
1501,11,PXE,Northern redbelly dace
1501,11,PXY,Southern redbelly dace
1501,11,PXN,Finescale dace
1501,11,PXP,Eurasian minnow
1501,11,PYI,Somalian cavefish
1501,11,PHV,NA
1501,11,PMP,Fathead minnow
1501,11,PLI,Smallscale yellowfin
1501,11,PLT,Woundfin
1501,11,PLC,Flathead chub
1501,11,PLX,NA
1501,11,PGC,Splittail
1501,11,PTD,NA
1501,11,PCE,NA
1501,11,PBB,NA
1501,11,PBM,NA
1501,11,PYH,NA
1501,11,PDL,Redfin
1501,11,PDS,Smallscale redfin
1501,11,PDE,NA
1501,11,PDJ,NA
1501,11,PDH,NA
1501,11,PDY,NA
1501,11,PDN,NA
1501,11,PDP,Stone moroko
1501,11,PSI,NA
1501,11,PTJ,NA
1501,11,PTO,NA
1501,11,PTI,Sacramento squawfish
1501,11,PGH,NA
1501,11,PUQ,NA
1501,11,PUH,NA
1501,11,PUU,Arulius barb
1501,11,PUI,Spotted barb
1501,11,PUO,Rosy barb
1501,11,PUM,Blackspot barb
1501,11,PUJ,Jerdon's carp
1501,11,PUD,NA
1501,11,PUS,Olive barb
1501,11,PUR,Pool barb
1501,11,PUT,Sumatra barb
1501,11,PUW,Ticto barb
1501,11,PUK,NA
1501,11,RAD,Slender rasbora
1501,11,RSG,NA
1501,11,RST,Harlequin rasbora
1501,11,RSR,Gangetic scissortail rasbora
1501,11,RSF,NA
1501,11,RSL,NA
1501,11,REH,NA
1501,11,RET,Relict dace
1501,11,RHQ,Blacknose dace
1501,11,RHW,Longnose dace
1501,11,RHV,Speckled dace
1501,11,RHM,NA
1501,11,ROO,Rosy bitterling
1501,11,ROR,Bitterling
1501,11,RIL,Redside shiner
1501,11,ROG,Vatani rohtee
1501,11,ROI,NA
1501,11,ROU,Amur whitefin gudgeon
1501,11,RLA,NA
1501,11,RTR,NA
1501,11,SAK,NA
1501,11,SLB,Large razorbelly minnow
1501,11,SNV,NA
1501,11,SHP,Rainbow gudgeon
1501,11,SUB,Chinese lizard gudgeon
1501,11,SWE,NA
1501,11,SGB,NA
1501,11,SRT,NA
1501,11,SUH,NA
1501,11,SZB,NA
1501,11,SZP,NA
1501,11,SZU,Sattar snowtrout
1501,11,SZE,NA
1501,11,SZR,Common snowtrout
1501,11,SRC,NA
1501,11,SLG,NA
1501,11,SMN,NA
1501,11,SMU,Creek chub
1501,11,SWL,NA
1501,11,SKG,NA
1501,11,SNM,NA
1501,11,SND,NA
1501,11,SNT,NA
1501,11,SZL,NA
1501,11,SOG,NA
1501,11,SYD,NA
1501,11,SBD,NA
1501,11,SIT,NA
1501,11,SQB,NA
1501,11,SQK,Barbel chub
1501,11,SDG,Stumptooth minnow
1501,11,SUI,NA
1501,11,SMB,NA
1501,11,TKT,Tokyo bitterling
1501,11,TYA,White cloud mountain minnow
1501,11,TYO,NA
1501,11,TYD,NA
1501,11,TYT,NA
1501,11,TGC,Loach minnow
1501,11,TOK,NA
1501,11,TOB,Thai mahseer
1501,11,TVJ,NA
1501,11,TBT,NA
1501,11,TYC,NA
1501,11,TGT,NA
1501,11,TPH,NA
1501,11,TUA,NA
1501,11,TPN,NA
1501,11,TPW,Iraq blind barb
1501,11,VAI,NA
1501,11,VIV,Vimba bream
1501,11,XEL,NA
1501,11,XEA,Yellowfin
1501,11,XYT,Razorback sucker
1501,11,YUA,NA
1501,11,ZAP,Freshwater minnow
1501,11,GOG,Gudgeon
1501,11,BBZ,NA
1501,11,VIM,Macedonian vimba
1501,11,BFS,Tinfoil barb
1501,11,BMW,Clown loach
1501,11,MWT,Weatherfish
1501,11,AVL,Patzcuaro chub
1501,11,LZF,Signal barb
1501,11,MZP,NA
1501,11,WPU,NA
1501,11,RSZ,Silver rasbora
1501,11,TWY,NA
1501,11,TZD,Semah mahseer
1501,11,AWT,Tarek
1501,11,YCQ,NA
1501,11,EQQ,Flying fox
1501,11,HNZ,Siamese mud carp
1501,11,LZQ,NA
1501,11,LZW,NA
1501,11,MJZ,NA
1501,11,PZI,NA
1501,11,WPP,NA
1501,11,FZP,Spanner barb
1501,11,RSV,Brilliant rasbora
1501,11,RWS,Twospot rasbora
1501,11,RRZ,NA
1501,11,TZS,NA
1501,11,HQX,NA
1501,11,BWX,NA
1501,11,YHX,NA
1501,11,LWD,NA
1501,11,LWK,NA
1501,11,RFZ,NA
1501,11,VLS,Schmidt's dace
1501,11,VLB,Issyk-Kul dace
1501,11,WSK,Naked osman
1501,11,QNG,Kanglang fish
1501,11,YHU,Big-head schizothoracin
1501,11,CWG,Prussian carp
1501,11,HVY,Predatory carp
1501,11,HWQ,Mongolian redfin
1501,11,UGH,NA
1501,11,FPR,Barbless carp
1501,11,WYG,NA
1501,11,UMM,Spotted steed
1501,11,WUT,Black Amur bream
1501,11,RWC,Caspian roach
1501,11,SWZ,NA
1501,11,YGH,Golden-line barbel
1501,11,WSS,NA
1501,11,QPQ,Rock carp
1501,11,DDT,NA
1501,11,DDV,Kalabans
1501,11,IJM,NA
1501,11,JEG,NA
1501,11,JNE,Siberian dace
1501,11,JVJ,NA
1501,11,QDU,NA
1501,11,QEA,NA
1501,11,QEB,NA
1501,11,QEC,NA
1501,11,QED,NA
1501,11,QER,Blunt- nosed snowtrout
1501,11,QES,Dinnawah snowtrout
1501,11,QET,NA
1501,11,QNT,NA
1501,11,QPC,NA
1501,11,WDX,NA
1501,11,XJB,NA
1501,11,YKI,NA
1501,11,YKQ,NA
1501,11,YXC,NA
1501,11,YXE,NA
1501,11,ZAQ,NA
1501,11,VBE,African scraping feeder
1501,11,ZTB,Far Eastern ide
1501,11,WLC,Bulatmai barbel
1501,11,ZMM,Chinese muddy loach
1501,11,YHM,Redtail botia
1501,11,QEZ,Snowtrouts nei
1501,11,BUB,Bigmouth buffalo
1501,11,FBM,Freshwater bream
1501,11,FTE,Tench
1501,11,ALR,Bleak
1501,11,FCC,Crucian carp
1501,11,FRO,Roach
1501,11,RFR,Kutum
1501,11,SRE,Rudd
1501,11,FID,Orfe(=Ide)
1501,11,LCB,Orangefin labeo
1501,11,MUC,Mud carp
1501,11,CMG,Mrigal carp
1501,11,CTT,Catla
1501,11,HXP,"Silver, bighead carps nei"
1501,11,NMC,Golden shiner
1501,11,FCN,Nilem carp
1501,11,PRJ,Isok barb
1501,11,ENA,Silver cyprinid
1501,11,FSC,Sichel
1501,11,ASU,Asp
1501,11,WUB,Wuchang bream
1501,11,FAB,Asian barbs nei
1501,11,PTG,Silver barb
1501,11,PTP,Putitor mahseer
1501,11,PTT,Tor barb
1501,11,KUR,Pond loach
1501,11,CTM,Suckers nei
1501,11,BUF,Buffalofishes nei
1501,11,FCY,Cyprinids nei
1501,11,FBR,Freshwater breams nei
1501,11,FCP,Common carp
1501,11,PTB,Barbel
1501,11,CGO,Goldfish
1501,11,FRX,Roaches nei
1501,11,LEW,Chubs nei
1501,11,FIE,Common dace
1501,11,RHI,Rhinofishes nei
1501,11,LRH,Roho labeo
1501,11,BIC,Bighead carp
1501,11,FCG,Grass carp(=White amur)
1501,11,SVC,Silver carp
1501,11,WAB,White amur bream
1501,11,FCH,Hoven's carp
1501,11,BKC,Black carp
1501,11,TFZ,Big-scaled redfin
1501,12,AIK,Threadfin acara
1501,12,AAV,NA
1501,12,AQP,NA
1501,12,AQU,Blue acara
1501,12,AIE,NA
1501,12,AGV,NA
1501,12,AII,Midas cichlid
1501,12,AKT,NA
1501,12,ARZ,NA
1501,12,GAF,NA
1501,12,GDS,NA
1501,12,HOK,Flier cichlid
1501,12,RKC,NA
1501,12,RTT,NA
1501,12,RCJ,NA
1501,12,TOC,Oscar
1501,12,ULD,NA
1501,12,ULW,NA
1501,12,BCK,NA
1501,12,BHX,NA
1501,12,BMI,NA
1501,12,BMP,Greenstreaked eartheater
1501,12,BIE,NA
1501,12,BEJ,Giant cichlid
1501,12,BMN,NA
1501,12,BJC,NA
1501,12,LHP,NA
1501,12,RCM,NA
1501,12,AQK,NA
1501,12,DXS,NA
1501,12,BJA,NA
1501,12,TBF,NA
1501,12,HNH,NA
1501,12,HSE,NA
1501,12,HHH,NA
1501,12,HTV,Canary kurper
1501,12,HCN,NA
1501,12,HHO,NA
1501,12,HRB,NA
1501,12,IHT,Speckled pavon
1501,12,IHE,Green guapote
1501,12,IHI,Black acara
1501,12,IHY,Rio Grande cichlid
1501,12,IHF,Chameleon cichlid
1501,12,IHS,NA
1501,12,IHN,Convict cichlid
1501,12,IHC,Jack Dempsey
1501,12,LRM,Keyhole cichlid
1501,12,OPZ,NA
1501,12,OSR,NA
1501,12,RRI,Chessboard cichlid
1501,12,RLT,NA
1501,12,RLJ,NA
1501,12,RLD,Pike cichlid
1501,12,RLX,Ringtail pike cichlid
1501,12,TXI,Blackspot climbing perch
1501,12,UGL,NA
1501,12,YAO,NA
1501,12,YAF,Featherfin cichlid
1501,12,YCW,NA
1501,12,YFF,Humphead cichlid
1501,12,YPE,NA
1501,12,YTO,NA
1501,12,DKF,NA
1501,12,DRM,NA
1501,12,DMC,Malawi eyebiter
1501,12,DXG,NA
1501,12,DMJ,NA
1501,12,EMF,NA
1501,12,EDD,NA
1501,12,EOB,NA
1501,12,ETY,NA
1501,12,ERC,Orange chromide
1501,12,EXA,Threespot torpedo
1501,12,FSR,NA
1501,12,GCN,NA
1501,12,GFA,Pearl cichlid
1501,12,GFL,NA
1501,12,GNX,NA
1501,12,GOW,NA
1501,12,GRJ,NA
1501,12,GWB,NA
1501,12,GUE,NA
1501,12,GMZ,Argentine humphead
1501,12,HCK,NA
1501,12,HIR,NA
1501,12,HID,NA
1501,12,HRY,NA
1501,12,HXI,NA
1501,12,HBS,NA
1501,12,HJB,Jewelfish
1501,12,HJF,Banded jewelfish
1501,12,HJU,NA
1501,12,HEX,Giant Haplochromis
1501,12,HRP,NA
1501,12,HRT,Rainbow cichlid
1501,12,HRI,NA
1501,12,HOJ,NA
1501,12,HTD,NA
1501,12,HSN,NA
1501,12,HSG,Moga
1501,12,IDP,Lavender mbuna
1501,12,IRH,NA
1501,12,JUD,NA
1501,12,KOD,Dikume
1501,12,KOG,NA
1501,12,LFE,Blue mbuna
1501,12,LHE,Blue streak hap
1501,12,LTV,NA
1501,12,LLC,NA
1501,12,LIE,NA
1501,12,LTX,NA
1501,12,LNU,NA
1501,12,LNC,Malawi gar
1501,12,LIV,NA
1501,12,LNE,NA
1501,12,LNR,NA
1501,12,LHJ,NA
1501,12,MLI,NA
1501,12,MVF,NA
1501,12,MJT,Golden mbuna
1501,12,MJH,Bluegray mbuna
1501,12,MOV,Flag cichlid
1501,12,MIZ,NA
1501,12,MHR,NA
1501,12,MFR,Ram cichlid
1501,12,MKY,Myaka
1501,12,NVC,NA
1501,12,NCN,Goldeneye cichlid
1501,12,NCS,NA
1501,12,NRN,NA
1501,12,NRU,NA
1501,12,NMV,Fuscotaeniatus
1501,12,NYB,NA
1501,12,OFB,NA
1501,12,OEL,Magadi tilapia
1501,12,OEM,NA
1501,12,OEG,NA
1501,12,OEU,NA
1501,12,OES,NA
1501,12,OEH,NA
1501,12,OEJ,NA
1501,12,OER,Karomo
1501,12,OEO,NA
1501,12,OEW,NA
1501,12,OEP,NA
1501,12,OET,NA
1501,12,OEI,NA
1501,12,OCI,NA
1501,12,OHO,Kariba tilapia
1501,12,OHI,NA
1501,12,OHU,Black tilapia
1501,12,OHW,NA
1501,12,OHK,NA
1501,12,OIS,NA
1501,12,OIW,NA
1501,12,OIH,Tilapia shiranus
1501,12,OIQ,NA
1501,12,OIT,NA
1501,12,OIP,NA
1501,12,OEV,NA
1501,12,OFG,NA
1501,12,OXO,NA
1501,12,RCB,NA
1501,12,RIV,NA
1501,12,RNC,NA
1501,12,RTN,NA
1501,12,RRD,NA
1501,12,ELK,NA
1501,12,EVH,NA
1501,12,ERI,NA
1501,12,ETD,NA
1501,12,ECY,NA
1501,12,EIG,NA
1501,12,HNL,NA
1501,12,LSR,Deep-water hap
1501,12,LNN,Haplochromis yellow black line
1501,12,TDN,NA
1501,12,PCV,NA
1501,12,RTS,NA
1501,12,UCN,NA
1501,12,USV,NA
1501,12,UDE,NA
1501,12,UDR,NA
1501,12,UDL,NA
1501,12,UDO,Elongate mbuna
1501,12,UFF,NA
1501,12,UFZ,Zebra mbuna
1501,12,TCJ,NA
1501,12,TFU,NA
1501,12,TCH,NA
1501,12,UNM,NA
1501,12,RRC,NA
1501,12,REF,NA
1501,12,RFB,NA
1501,12,TPP,Sharphead eartheater
1501,12,SZD,NA
1501,12,SWN,NA
1501,12,SJI,Electric blue hap
1501,12,RKA,Thinface cichlid
1501,12,ICT,NA
1501,12,TDY,NA
1501,12,TSS,Lionhead cichlid
1501,12,TGO,NA
1501,12,TMM,Nsess
1501,12,YMQ,Blue discus
1501,12,TCD,NA
1501,12,TAH,NA
1501,12,TIY,NA
1501,12,TAZ,NA
1501,12,TAD,NA
1501,12,TAJ,Spotfin goby cichlid
1501,12,TLC,NA
1501,12,TLF,NA
1501,12,TLT,NA
1501,12,YCN,NA
1501,12,TPB,NA
1501,12,TPO,NA
1501,12,TPI,NA
1501,12,TIB,NA
1501,12,TIV,NA
1501,12,TIM,NA
1501,12,TII,Zebra tilapia
1501,12,TPY,NA
1501,12,TIR,NA
1501,12,TAM,NA
1501,12,TJC,NA
1501,12,TJE,NA
1501,12,TJF,NA
1501,12,TJG,NA
1501,12,TJD,NA
1501,12,TJK,NA
1501,12,TJI,NA
1501,12,TJV,NA
1501,12,TJU,Otjikoto tilapia
1501,12,TJT,NA
1501,12,TJM,NA
1501,12,TJJ,NA
1501,12,TJA,NA
1501,12,TJL,NA
1501,12,TJR,NA
1501,12,TJP,Spotted tilapia
1501,12,TJN,NA
1501,12,TJH,NA
1501,12,TJW,Okavango tilapia
1501,12,TJY,NA
1501,12,TJS,NA
1501,12,TIJ,NA
1501,12,TLH,NA
1501,12,TLW,NA
1501,12,TMV,NA
1501,12,TMC,NA
1501,12,TMS,NA
1501,12,TML,NA
1501,12,TCM,NA
1501,12,TMR,NA
1501,12,TFN,NA
1501,12,TMI,NA
1501,12,TME,NA
1501,12,UAA,Uaru
1501,12,XEH,NA
1501,12,XTB,NA
1501,12,IBZ,NA
1501,12,AXV,NA
1501,12,OVZ,Lake Malawi utaka
1501,12,IZL,Guayas cichlid
1501,12,TLM,Mozambique tilapia
1501,12,OEA,Blue tilapia
1501,12,TLL,Sabaki tilapia
1501,12,ORM,Longfin tilapia
1501,12,ORU,Wami tilapia
1501,12,SAR,Mango tilapia
1501,12,SAH,Blackchin tilapia
1501,12,CHX,Cichlasoma nei
1501,12,CHK,Blackbelt cichlid
1501,12,CHH,Mexican mojarra
1501,12,TLZ,Redbelly tilapia
1501,12,TLR,Redbreast tilapia
1501,12,TLG,Guinean tilapia
1501,12,AST,Velvety cichlids
1501,12,AER,Green terror
1501,12,YBB,Yellow-belly bream
1501,12,CIX,Cichlids nei
1501,12,TLP,Tilapias nei
1501,12,TLN,Nile tilapia
1501,12,STA,Three spotted tilapia
1501,12,CHL,Jaguar guapote
1501,12,CLO,Peacock cichlid
1501,12,TLS,Banded tilapia
1501,12,ETS,Pearlspot
1501,12,CIM,Mouthbrooding cichlids
1501,12,GXX,NA
1501,12,GFW,NA
1501,12,IGX,NA
1501,12,OXW,"Blue-Nile tilapia, hybrid"
1501,13,AEZ,NA
1501,13,AKP,Mud sunfish
1501,13,ABQ,NA
1501,13,AYX,NA
1501,13,ABN,NA
1501,13,AHI,NA
1501,13,NTM,Talking catfish
1501,13,ACG,NA
1501,13,TPE,NA
1501,13,ACF,NA
1501,13,AOA,Freshwater snake-eel
1501,13,ACI,NA
1501,13,ADC,NA
1501,13,AFM,Starhead killi
1501,13,ADX,Diamond killifish
1501,13,ADB,NA
1501,13,AKY,Duckbilled buntingi
1501,13,AEX,NA
1501,13,AVF,NA
1501,13,AFZ,Fourspine leaffish
1501,13,MXP,Whitebarred catfish
1501,13,GNT,NA
1501,13,GNV,NA
1501,13,GNU,NA
1501,13,GNM,NA
1501,13,GNQ,Bottlenose catfish
1501,13,GNL,NA
1501,13,GNN,NA
1501,13,GNY,NA
1501,13,GNO,NA
1501,13,GNH,NA
1501,13,GNK,NA
1501,13,GNW,NA
1501,13,GNI,NA
1501,13,GNJ,NA
1501,13,AGF,Gnarled catfish
1501,13,AUZ,Bark catfish
1501,13,UYT,NA
1501,13,AIC,NA
1501,13,AKF,NA
1501,13,AEB,NA
1501,13,AED,NA
1501,13,AEA,Stripped robber
1501,13,AEH,NA
1501,13,AFU,NA
1501,13,ADU,Whitepatched splitfin
1501,13,ATZ,Tuxpan splitfin
1501,13,AFR,Bulldog goodeid
1501,13,ADE,Opal allotoca
1501,13,AHJ,NA
1501,13,BMH,Hilda's grunter
1501,13,IUC,NA
1501,13,EAS,Rio Negro pygmy anchovy
1501,13,AKR,Rock bass
1501,13,LYM,NA
1501,13,LYH,Blue-eye catfish
1501,13,ABY,Ozark cavefish
1501,13,GMS,Butterfly splitfin
1501,13,IAB,Snail bullhead
1501,13,IAP,Flat bullhead
1501,13,IAS,Spotted bullhead
1501,13,AAC,Bowfin
1501,13,AYP,Western sand darter
1501,13,AYU,Eastern sand darter
1501,13,AXE,NA
1501,13,MNF,Tiger grunter
1501,13,LUT,Mountain barbel
1501,13,AAW,Largescale foureyes
1501,13,ADG,NA
1501,13,EVA,Allen's anchovy
1501,13,EVG,Guyana anchovy
1501,13,EVJ,James's anchovy
1501,13,EVT,Natterer's anchovy
1501,13,EVV,Vaillant's anchovy
1501,13,AIH,NA
1501,13,DET,NA
1501,13,AZA,NA
1501,13,ATD,NA
1501,13,OIA,NA
1501,13,STM,Striped headstander
